passage_id,wiki_bio_test_idx,sentence_idx,sentence,label,split,passage_text,char_start,char_end
0,62464,0,"John Russell Reynolds (1820–1876) was an English lawyer, judge, and author.",1,train,"John Russell Reynolds (1820–1876) was an English lawyer, judge, and author. He was born in London, the son of a barrister, and was educated at Eton College and Trinity College, Oxford. He was called to the bar in 1845, and became a Queen's Counsel in 1868. He was appointed a judge of the Court of Common Pleas in 1868, and was knighted as a Knight Commander of the Order of the Bath (KCB) in 1871. Reynolds was a prolific author, writing on a wide range of topics. He wrote several books on legal topics, including The Law of Libel and Slander (1863), The Law of Copyright (1865), and The Law of Patents for Inventions (1868). He also wrote on a variety of other topics, including history, biography, and literature. [BLANK_2] refers to the publication year of the book ""The Mystery of William Shakespeare"". The text mentions that Reynolds wrote ""The Law of Libel and Slander"" in 1863, ""The Law of Copyright"" in 1865, and ""The Law of Patents for Inventions"" in 1868. However, it does not provide a specific publication year for ""The Mystery of William Shakespeare"". Given the context, it is likely that the book was published around the same time as his other books on Shakespeare, but the exact year is not specified. However, the book ""The Authorship of Shakespeare"" was published in Corrected sentence: CORRECTED: He also wrote a biography of the poet John Keats, but the exact date of the biography is not specified in the provided information.",0,75
0,62464,1,"He was born in London, the son of a barrister, and was educated at Eton College and Trinity College, Oxford.",1,train,"John Russell Reynolds (1820–1876) was an English lawyer, judge, and author. He was born in London, the son of a barrister, and was educated at Eton College and Trinity College, Oxford. He was called to the bar in 1845, and became a Queen's Counsel in 1868. He was appointed a judge of the Court of Common Pleas in 1868, and was knighted as a Knight Commander of the Order of the Bath (KCB) in 1871. Reynolds was a prolific author, writing on a wide range of topics. He wrote several books on legal topics, including The Law of Libel and Slander (1863), The Law of Copyright (1865), and The Law of Patents for Inventions (1868). He also wrote on a variety of other topics, including history, biography, and literature. [BLANK_2] refers to the publication year of the book ""The Mystery of William Shakespeare"". The text mentions that Reynolds wrote ""The Law of Libel and Slander"" in 1863, ""The Law of Copyright"" in 1865, and ""The Law of Patents for Inventions"" in 1868. However, it does not provide a specific publication year for ""The Mystery of William Shakespeare"". Given the context, it is likely that the book was published around the same time as his other books on Shakespeare, but the exact year is not specified. However, the book ""The Authorship of Shakespeare"" was published in Corrected sentence: CORRECTED: He also wrote a biography of the poet John Keats, but the exact date of the biography is not specified in the provided information.",76,184
0,62464,2,"He was called to the bar in 1845, and became a Queen's Counsel in 1868.",1,train,"John Russell Reynolds (1820–1876) was an English lawyer, judge, and author. He was born in London, the son of a barrister, and was educated at Eton College and Trinity College, Oxford. He was called to the bar in 1845, and became a Queen's Counsel in 1868. He was appointed a judge of the Court of Common Pleas in 1868, and was knighted as a Knight Commander of the Order of the Bath (KCB) in 1871. Reynolds was a prolific author, writing on a wide range of topics. He wrote several books on legal topics, including The Law of Libel and Slander (1863), The Law of Copyright (1865), and The Law of Patents for Inventions (1868). He also wrote on a variety of other topics, including history, biography, and literature. [BLANK_2] refers to the publication year of the book ""The Mystery of William Shakespeare"". The text mentions that Reynolds wrote ""The Law of Libel and Slander"" in 1863, ""The Law of Copyright"" in 1865, and ""The Law of Patents for Inventions"" in 1868. However, it does not provide a specific publication year for ""The Mystery of William Shakespeare"". Given the context, it is likely that the book was published around the same time as his other books on Shakespeare, but the exact year is not specified. However, the book ""The Authorship of Shakespeare"" was published in Corrected sentence: CORRECTED: He also wrote a biography of the poet John Keats, but the exact date of the biography is not specified in the provided information.",185,256
0,62464,3,"He was appointed a judge of the Court of Common Pleas in 1868, and was knighted as a Knight Commander of the Order of the Bath (KCB) in 1871.",1,train,"John Russell Reynolds (1820–1876) was an English lawyer, judge, and author. He was born in London, the son of a barrister, and was educated at Eton College and Trinity College, Oxford. He was called to the bar in 1845, and became a Queen's Counsel in 1868. He was appointed a judge of the Court of Common Pleas in 1868, and was knighted as a Knight Commander of the Order of the Bath (KCB) in 1871. Reynolds was a prolific author, writing on a wide range of topics. He wrote several books on legal topics, including The Law of Libel and Slander (1863), The Law of Copyright (1865), and The Law of Patents for Inventions (1868). He also wrote on a variety of other topics, including history, biography, and literature. [BLANK_2] refers to the publication year of the book ""The Mystery of William Shakespeare"". The text mentions that Reynolds wrote ""The Law of Libel and Slander"" in 1863, ""The Law of Copyright"" in 1865, and ""The Law of Patents for Inventions"" in 1868. However, it does not provide a specific publication year for ""The Mystery of William Shakespeare"". Given the context, it is likely that the book was published around the same time as his other books on Shakespeare, but the exact year is not specified. However, the book ""The Authorship of Shakespeare"" was published in Corrected sentence: CORRECTED: He also wrote a biography of the poet John Keats, but the exact date of the biography is not specified in the provided information.",257,398
0,62464,4,"Reynolds was a prolific author, writing on a wide range of topics.",1,train,"John Russell Reynolds (1820–1876) was an English lawyer, judge, and author. He was born in London, the son of a barrister, and was educated at Eton College and Trinity College, Oxford. He was called to the bar in 1845, and became a Queen's Counsel in 1868. He was appointed a judge of the Court of Common Pleas in 1868, and was knighted as a Knight Commander of the Order of the Bath (KCB) in 1871. Reynolds was a prolific author, writing on a wide range of topics. He wrote several books on legal topics, including The Law of Libel and Slander (1863), The Law of Copyright (1865), and The Law of Patents for Inventions (1868). He also wrote on a variety of other topics, including history, biography, and literature. [BLANK_2] refers to the publication year of the book ""The Mystery of William Shakespeare"". The text mentions that Reynolds wrote ""The Law of Libel and Slander"" in 1863, ""The Law of Copyright"" in 1865, and ""The Law of Patents for Inventions"" in 1868. However, it does not provide a specific publication year for ""The Mystery of William Shakespeare"". Given the context, it is likely that the book was published around the same time as his other books on Shakespeare, but the exact year is not specified. However, the book ""The Authorship of Shakespeare"" was published in Corrected sentence: CORRECTED: He also wrote a biography of the poet John Keats, but the exact date of the biography is not specified in the provided information.",399,465
0,62464,5,"He wrote several books on legal topics, including The Law of Libel and Slander (1863), The Law of Copyright (1865), and The Law of Patents for Inventions (1868).",1,train,"John Russell Reynolds (1820–1876) was an English lawyer, judge, and author. He was born in London, the son of a barrister, and was educated at Eton College and Trinity College, Oxford. He was called to the bar in 1845, and became a Queen's Counsel in 1868. He was appointed a judge of the Court of Common Pleas in 1868, and was knighted as a Knight Commander of the Order of the Bath (KCB) in 1871. Reynolds was a prolific author, writing on a wide range of topics. He wrote several books on legal topics, including The Law of Libel and Slander (1863), The Law of Copyright (1865), and The Law of Patents for Inventions (1868). He also wrote on a variety of other topics, including history, biography, and literature. [BLANK_2] refers to the publication year of the book ""The Mystery of William Shakespeare"". The text mentions that Reynolds wrote ""The Law of Libel and Slander"" in 1863, ""The Law of Copyright"" in 1865, and ""The Law of Patents for Inventions"" in 1868. However, it does not provide a specific publication year for ""The Mystery of William Shakespeare"". Given the context, it is likely that the book was published around the same time as his other books on Shakespeare, but the exact year is not specified. However, the book ""The Authorship of Shakespeare"" was published in Corrected sentence: CORRECTED: He also wrote a biography of the poet John Keats, but the exact date of the biography is not specified in the provided information.",466,627
0,62464,6,"He also wrote on a variety of other topics, including history, biography, and literature.",1,train,"John Russell Reynolds (1820–1876) was an English lawyer, judge, and author. He was born in London, the son of a barrister, and was educated at Eton College and Trinity College, Oxford. He was called to the bar in 1845, and became a Queen's Counsel in 1868. He was appointed a judge of the Court of Common Pleas in 1868, and was knighted as a Knight Commander of the Order of the Bath (KCB) in 1871. Reynolds was a prolific author, writing on a wide range of topics. He wrote several books on legal topics, including The Law of Libel and Slander (1863), The Law of Copyright (1865), and The Law of Patents for Inventions (1868). He also wrote on a variety of other topics, including history, biography, and literature. [BLANK_2] refers to the publication year of the book ""The Mystery of William Shakespeare"". The text mentions that Reynolds wrote ""The Law of Libel and Slander"" in 1863, ""The Law of Copyright"" in 1865, and ""The Law of Patents for Inventions"" in 1868. However, it does not provide a specific publication year for ""The Mystery of William Shakespeare"". Given the context, it is likely that the book was published around the same time as his other books on Shakespeare, but the exact year is not specified. However, the book ""The Authorship of Shakespeare"" was published in Corrected sentence: CORRECTED: He also wrote a biography of the poet John Keats, but the exact date of the biography is not specified in the provided information.",628,717
0,62464,7,"[BLANK_2] refers to the publication year of the book ""The Mystery of William Shakespeare"". The text mentions that Reynolds wrote ""The Law of Libel and Slander"" in 1863, ""The Law of Copyright"" in 1865, and ""The Law of Patents for Inventions"" in 1868. However, it does not provide a specific publication year for ""The Mystery of William Shakespeare"". Given the context, it is likely that the book was published around the same time as his other books on Shakespeare, but the exact year is not specified. However, the book ""The Authorship of Shakespeare"" was published in",1,train,"John Russell Reynolds (1820–1876) was an English lawyer, judge, and author. He was born in London, the son of a barrister, and was educated at Eton College and Trinity College, Oxford. He was called to the bar in 1845, and became a Queen's Counsel in 1868. He was appointed a judge of the Court of Common Pleas in 1868, and was knighted as a Knight Commander of the Order of the Bath (KCB) in 1871. Reynolds was a prolific author, writing on a wide range of topics. He wrote several books on legal topics, including The Law of Libel and Slander (1863), The Law of Copyright (1865), and The Law of Patents for Inventions (1868). He also wrote on a variety of other topics, including history, biography, and literature. [BLANK_2] refers to the publication year of the book ""The Mystery of William Shakespeare"". The text mentions that Reynolds wrote ""The Law of Libel and Slander"" in 1863, ""The Law of Copyright"" in 1865, and ""The Law of Patents for Inventions"" in 1868. However, it does not provide a specific publication year for ""The Mystery of William Shakespeare"". Given the context, it is likely that the book was published around the same time as his other books on Shakespeare, but the exact year is not specified. However, the book ""The Authorship of Shakespeare"" was published in Corrected sentence: CORRECTED: He also wrote a biography of the poet John Keats, but the exact date of the biography is not specified in the provided information.",718,1286
0,62464,8,"Corrected sentence: CORRECTED: He also wrote a biography of the poet John Keats, but the exact date of the biography is not specified in the provided information.",1,train,"John Russell Reynolds (1820–1876) was an English lawyer, judge, and author. He was born in London, the son of a barrister, and was educated at Eton College and Trinity College, Oxford. He was called to the bar in 1845, and became a Queen's Counsel in 1868. He was appointed a judge of the Court of Common Pleas in 1868, and was knighted as a Knight Commander of the Order of the Bath (KCB) in 1871. Reynolds was a prolific author, writing on a wide range of topics. He wrote several books on legal topics, including The Law of Libel and Slander (1863), The Law of Copyright (1865), and The Law of Patents for Inventions (1868). He also wrote on a variety of other topics, including history, biography, and literature. [BLANK_2] refers to the publication year of the book ""The Mystery of William Shakespeare"". The text mentions that Reynolds wrote ""The Law of Libel and Slander"" in 1863, ""The Law of Copyright"" in 1865, and ""The Law of Patents for Inventions"" in 1868. However, it does not provide a specific publication year for ""The Mystery of William Shakespeare"". Given the context, it is likely that the book was published around the same time as his other books on Shakespeare, but the exact year is not specified. However, the book ""The Authorship of Shakespeare"" was published in Corrected sentence: CORRECTED: He also wrote a biography of the poet John Keats, but the exact date of the biography is not specified in the provided information.",1287,1449
1,49661,0,"Matthew Aylmer, 1st Baron Aylmer (1708–1794) was an Irish soldier and colonial administrator.",1,train,"Matthew Aylmer, 1st Baron Aylmer (1708–1794) was an Irish soldier and colonial administrator. Matthew Aylmer, 1st Baron Aylmer (1708–1794) was an Irish soldier and colonial administrator. He was born in Dublin, the son of a barrister, and was educated at Trinity College, Dublin. He joined the British Army in 1727 and served in the Seven Years' War. He was promoted to lieutenant-general in 1772 and was appointed Governor of Gibraltar in 1776. He was made a baron in 1782 and was appointed Commander-in-Chief of the British forces in North America in 1783, a position he held until 1786. He was recalled in 1790 and died in London in 1797. He was buried in St. Patrick's Cathedral, Dublin.",0,93
